,num_players,num_runs,num_hands,player_1_makes_flush
0,2,1,1000,0
1,2,2,1000,1
2,2,3,1000,0
3,2,4,1000,1
4,2,5,1000,1
5,2,6,1000,1
6,2,7,1000,1
7,2,8,1000,1
8,2,9,1000,1
9,2,10,1000,3
10,3,1,1000,0
11,3,2,1000,1
12,3,3,1000,1
13,3,4,1000,0
14,3,5,1000,1
15,3,6,1000,2
16,3,7,1000,2
17,3,8,1000,2
18,3,9,1000,1
19,3,10,1000,2
20,4,1,1000,0
21,4,2,1000,1
22,4,3,1000,1
23,4,4,1000,0
24,4,5,1000,2
25,4,6,1000,0
26,4,7,1000,1
27,4,8,1000,1
28,4,9,1000,5
29,4,10,1000,4
30,5,1,1000,0
31,5,2,1000,0
32,5,3,1000,1
33,5,4,1000,1
34,5,5,1000,1
35,5,6,1000,1
36,5,7,1000,3
37,5,8,1000,3
38,5,9,1000,2
39,5,10,1000,2
40,6,1,1000,0
41,6,2,1000,0
42,6,3,1000,1
43,6,4,1000,0
44,6,5,1000,1
45,6,6,1000,3
46,6,7,1000,2
47,6,8,1000,2
48,6,9,1000,2
49,6,10,1000,5
50,7,1,1000,0
51,7,2,1000,0
52,7,3,1000,0
53,7,4,1000,2
54,7,5,1000,0
55,7,6,1000,0
56,7,7,1000,1
57,7,8,1000,1
58,7,9,1000,2
59,7,10,1000,3
60,8,1,1000,0
61,8,2,1000,1
62,8,3,1000,0
63,8,4,1000,0
64,8,5,1000,2
65,8,6,1000,1
66,8,7,1000,1
67,8,8,1000,2
68,8,9,1000,2
69,8,10,1000,0
70,9,1,1000,1
71,9,2,1000,1
72,9,3,1000,2
73,9,4,1000,2
74,9,5,1000,2
75,9,6,1000,0
76,9,7,1000,0
77,9,8,1000,1
78,9,9,1000,3
79,9,10,1000,2
