num_players,num_runs,num_hands,player_1_makes_flush
2,1,1000,212
2,2,1000,340
2,3,1000,480
2,4,1000,611
2,5,1000,663
2,6,1000,767
2,7,1000,843
2,8,1000,867
2,9,1000,914
2,10,1000,924
3,1,1000,207
3,2,1000,362
3,3,1000,496
3,4,1000,619
3,5,1000,699
3,6,1000,757
3,7,1000,822
3,8,1000,864
3,9,1000,889
3,10,1000,944
4,1,1000,197
4,2,1000,374
4,3,1000,524
4,4,1000,623
4,5,1000,723
4,6,1000,765
4,7,1000,847
4,8,1000,839
4,9,1000,915
4,10,1000,925
5,1,1000,208
5,2,1000,383
5,3,1000,494
5,4,1000,616
5,5,1000,704
5,6,1000,762
5,7,1000,830
5,8,1000,873
5,9,1000,900
5,10,1000,922
6,1,1000,214
6,2,1000,346
6,3,1000,503
6,4,1000,641
6,5,1000,681
6,6,1000,756
6,7,1000,823
6,8,1000,878
6,9,1000,882
6,10,1000,914
7,1,1000,207
7,2,1000,362
7,3,1000,492
7,4,1000,632
7,5,1000,687
7,6,1000,769
7,7,1000,811
7,8,1000,854
7,9,1000,909
7,10,1000,925
8,1,1000,212
8,2,1000,367
8,3,1000,501
8,4,1000,622
8,5,1000,707
8,6,1000,760
8,7,1000,834
8,8,1000,860
8,9,1000,906
8,10,1000,924
9,1,1000,182
9,2,1000,402
9,3,1000,516
9,4,1000,614
9,5,1000,704
9,6,1000,802
9,7,1000,831
9,8,1000,876
9,9,1000,904
9,10,1000,928
